Model,MAE,RMSE,R2,MAPE
Mean Baseline,4176.548108346735,,-0.04942577121932601,
Median Baseline,4131.197751602628,,-0.08653267731258363,
Linear Regression,3479.023487678985,7698.100903721969,-0.14988726806483776,36.31462453151037
Random Forest,1375.869808905431,4055.3216862977974,0.6808912690578512,8.808463983152205
Gradient Boosting,1562.836127131311,4188.026913630672,0.6596647019580115,10.183964441531531
Tuned Random Forest,1378.1163927395066,4057.891479095588,0.6804867126718772,8.820000723331937
